"Dataset:","LGBTI","","","","","",""
"Estonia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","0",""
"Greece","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","4",""
"Greece","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","9",""
"Greece","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","39",""
"Greece","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","23",""
"Greece","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","16",""
"Greece","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","8",""
"Greece","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","1",""
"Greece","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Greece","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","0",""
"Spain","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","3",""
"Spain","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","8",""
"Spain","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","37",""
"Spain","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","26",""
"Spain","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","17",""
"Spain","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","6",""
"Spain","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","2",""
"Spain","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Spain","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","1",""
"Finland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","3",""
"Finland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","7",""
"Finland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","43",""
"Finland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","23",""
"Finland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","15",""
"Finland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","6",""
"Finland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","3",""
"Finland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Finland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","1",""
"France","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","2",""
"France","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","6",""
"France","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","36",""
"France","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","27",""
"France","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","18",""
"France","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","6",""
"France","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","4",""
"France","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"France","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","1",""
"Croatia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","4",""
"Croatia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","8",""
"Croatia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","41",""
"Croatia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","27",""
"Croatia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","15",""
"Croatia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","3",""
"Croatia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","1",""
"Croatia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Croatia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","0",""
"Hungary","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","1",""
"Hungary","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","4",""
"Hungary","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","37",""
"Hungary","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","27",""
"Hungary","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","19",""
"Hungary","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","8",""
"Hungary","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","4",""
"Hungary","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Hungary","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","0",""
"Ireland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","2",""
"Ireland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","7",""
"Ireland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","46",""
"Ireland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","23",""
"Ireland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","14",""
"Ireland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","6",""
"Ireland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","2",""
"Ireland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Ireland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","0",""
"Italy","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","3",""
"Italy","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","9",""
"Italy","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","38",""
"Italy","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","23",""
"Italy","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","16",""
"Italy","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","9",""
"Italy","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","2",""
"Italy","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Italy","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","1",""
"Lithuania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","2",""
"Lithuania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","6",""
"Lithuania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","51",""
"Lithuania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","26",""
"Lithuania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","12",""
"Lithuania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","1",""
"Lithuania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","1",""
"Lithuania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Lithuania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","1",""
"Luxembourg","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","2",""
"Luxembourg","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","5",""
"Luxembourg","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","41",""
"Luxembourg","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","23",""
"Luxembourg","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","15",""
"Luxembourg","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","11",""
"Luxembourg","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","3",""
"Luxembourg","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Luxembourg","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","1",""
"Latvia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","2",""
"Latvia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","5",""
"Latvia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","48",""
"Latvia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","26",""
"Latvia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","15",""
"Latvia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","4",""
"Latvia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","1",""
"Latvia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Latvia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","0",""
"Malta","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","2",""
"Malta","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","6",""
"Malta","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","47",""
"Malta","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","24",""
"Malta","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","13",""
"Malta","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","6",""
"Malta","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","2",""
"Malta","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Malta","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","0",""
"Netherlands","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","1",""
"Netherlands","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","5",""
"Netherlands","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","40",""
"Netherlands","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","25",""
"Netherlands","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","18",""
"Netherlands","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","6",""
"Netherlands","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","3",""
"Netherlands","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Netherlands","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","0",""
"Poland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","1",""
"Poland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","5",""
"Poland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","41",""
"Poland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","31",""
"Poland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","15",""
"Poland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","6",""
"Poland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","1",""
"Poland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Poland","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","0",""
"Portugal","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","3",""
"Portugal","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","9",""
"Portugal","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","35",""
"Portugal","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","24",""
"Portugal","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","18",""
"Portugal","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","8",""
"Portugal","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","2",""
"Portugal","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Portugal","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","1",""
"Romania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","3",""
"Romania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","6",""
"Romania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","43",""
"Romania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","26",""
"Romania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","14",""
"Romania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","6",""
"Romania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","2",""
"Romania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Romania","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","0",""
"Sweden","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","3",""
"Sweden","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","7",""
"Sweden","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","40",""
"Sweden","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","21",""
"Sweden","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","19",""
"Sweden","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","7",""
"Sweden","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","3",""
"Sweden","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Sweden","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","1",""
"Slovenia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","2",""
"Slovenia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","5",""
"Slovenia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","48",""
"Slovenia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","25",""
"Slovenia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","15",""
"Slovenia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","3",""
"Slovenia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","0",""
"Slovenia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Slovenia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","1",""
"Slovakia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","1",""
"Slovakia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","5",""
"Slovakia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","48",""
"Slovakia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","28",""
"Slovakia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","12",""
"Slovakia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","4",""
"Slovakia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","1",""
"Slovakia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"Slovakia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","1",""
"United Kingdom","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","2",""
"United Kingdom","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","8",""
"United Kingdom","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","49",""
"United Kingdom","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","19",""
"United Kingdom","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","13",""
"United Kingdom","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","5",""
"United Kingdom","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","3",""
"United Kingdom","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"United Kingdom","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","0",""
"EU-28","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","2",""
"EU-28","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","7",""
"EU-28","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","41",""
"EU-28","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","25",""
"EU-28","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","16",""
"EU-28","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","6",""
"EU-28","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","3",""
"EU-28","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","55y.o. or more","0",""
"EU-28","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","1",""
"North Macedonia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","2",""
"North Macedonia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","6",""
"North Macedonia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","36",""
"North Macedonia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","30",""
"North Macedonia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","20",""
"North Macedonia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","4",""
"North Macedonia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","0",""
"North Macedonia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","1",""
"Serbia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","5y.o. or less","3",""
"Serbia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","6-9y.o.","8",""
"Serbia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","10-14y.o.","41",""
"Serbia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","15-17y.o.","25",""
"Serbia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","18-24y.o.","18",""
"Serbia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","25-34y.o.","3",""
"Serbia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","35-54y.o.","1",""
"Serbia","All","All","DEXa13","How old were you when you realised for the first time you are LGB?","Dont know","0",""
"Austria","All","All","DEXa14","How old were you when you first told somebody you are LGB?","Have not told anybody","8",""
"Austria","All","All","DEXa14","How old were you when you first told somebody you are LGB?","5y.o. or less","0",""
"Austria","All","All","DEXa14","How old were you when you first told somebody you are LGB?","6-9y.o.","0",""
"Austria","All","All","DEXa14","How old were you when you first told somebody you are LGB?","10-14y.o.","11",""
"Austria","All","All","DEXa14","How old were you when you first told somebody you are LGB?","15-17y.o.","27",""
"Austria","All","All","DEXa14","How old were you when you first told somebody you are LGB?","18-24y.o.","35",""
"Austria","All","All","DEXa14","How old were you when you first told somebody you are LGB?","25-34y.o.","13",""
"Austria","All","All","DEXa14","How old were you when you first told somebody you are LGB?","35-54y.o.","6",""
"Austria","All","All","DEXa14","How old were you when you first told somebody you are LGB?","55y.o. or more","0",""
"Austria","All","All","DEXa14","How old were you when you first told somebody you are LGB?","Dont know","0",""
"Belgium","All","All","DEXa14","How old were you when you first told somebody you are LGB?","Have not told anybody","7",""
"Belgium","All","All","DEXa14","How old were you when you first told somebody you are LGB?","5y.o. or less","0",""
"Belgium","All","All","DEXa14","How old were you when you first told somebody you are LGB?","6-9y.o.","0",""
"Belgium","All","All","DEXa14","How old were you when you first told somebody you are LGB?","10-14y.o.","9",""
"Belgium","All","All","DEXa14","How old were you when you first told somebody you are LGB?","15-17y.o.","26",""
